F Weight Lower,F Weight Upper,F Wing Lower,F Wing Upper,M Weight Lower,M Weight Upper,M Wing Lower,M Wing Upper,Species Code
0,0,0,0,0,0,0,0,ABDU
0,0,0,0,0,0,0,0,ABDX
0,0,82,92,0,0,87,97,ABTO
10,15,64,75,11,16,69,80,ACFL
0,0,351,405,0,0,362,416,ACGO
2,3,0,0,2,3,0,0,ACHU
0,0,131,154,0,0,132,153,ACWO
0,0,0,0,0,0,0,0,ADPE
0,0,0,0,0,0,0,0,ADWA
0,0,0,0,0,0,0,0,AFCD
0,0,0,0,0,0,0,0,AFOW
0,0,0,0,0,0,0,0,AFPE
0,0,0,0,0,0,0,0,AFSI
0,0,0,0,0,0,0,0,AGWT
0,0,0,0,0,0,0,0,AKEK
0,0,0,0,0,0,0,0,AKEP
0,0,0,0,0,0,0,0,AKIK
0,0,0,0,0,0,0,0,AKIP
0,0,0,0,0,0,0,0,AKOH
0,0,66,74,0,0,68,77,ALFL
3,4,40,43,2,4,36,40,ALHU
0,0,103,113,0,0,108,119,ALOR
0,0,0,0,0,0,0,0,ALTE
0,0,211,239,0,0,215,243,AMAV
0,0,0,0,0,0,0,0,AMBI
0,0,162,192,0,0,176,204,AMCO
0,0,272,327,0,0,277,341,AMCR
0,0,80,94,0,0,86,102,AMDI
0,0,0,0,0,0,0,0,AMFL
10,17,63,75,10,18,66,79,AMGO
0,0,168,183,0,0,168,183,AMGP
90,168,167,204,82,153,161,198,AMKE
0,0,243,273,0,0,238,267,AMOY
17,24,73,87,17,24,77,94,AMPI
6,13,55,66,6,13,58,69,AMRE
63,93,115,140,65,95,119,145,AMRO
0,0,0,0,0,0,0,0,AMWI
128,233,129,142,105,186,118,129,AMWO
0,0,0,0,0,0,0,0,ANEU
0,0,0,0,0,0,0,0,ANHI
3,6,46,52,4,6,46,51,ANHU
0,0,0,0,0,0,0,0,ANIA
0,0,0,0,0,0,0,0,ANMA
0,0,0,0,0,0,0,0,ANMU
0,0,160,185,0,0,90,103,ANNI
0,0,0,0,0,0,0,0,ANPE
0,0,0,0,0,0,0,0,ANTE
0,0,0,0,0,0,0,0,APAP
0,0,279,314,0,0,248,278,APFA
0,0,0,0,0,0,0,0,ARLO
0,0,0,0,0,0,0,0,ARRW
0,0,0,0,0,0,0,0,ARTE
0,0,58,67,0,0,62,70,ARWA
0,0,135,148,0,0,132,145,ASSP
0,0,283,330,0,0,300,342,ATBR
0,0,88,99,0,0,95,105,ATFL
0,0,0,0,0,0,0,0,ATPU
15,24,67,80,10,27,70,82,ATSP
0,0,108,129,0,0,110,128,ATTW
31,52,85,99,31,52,94,105,AUOR
0,0,192,210,0,0,193,212,AUSH
0,0,68,78,0,0,71,83,AUWA
0,0,0,0,0,0,0,0,AWPE
0,0,0,0,0,0,0,0,AZTH
0,0,0,0,0,0,0,0,BABI
0,0,0,0,0,0,0,0,BACG
0,0,54,63,0,0,56,65,BACS
0,0,551,678,0,0,509,629,BAEA
0,0,0,0,0,0,0,0,BAGO
0,0,0,0,0,0,0,0,BAHS
15,20,65,72,15,20,67,75,BAIS
0,0,0,0,0,0,0,0,BAMO
0,0,0,0,0,0,0,0,BANA
0,0,147,165,0,0,143,161,BANP
12,18,94,105,13,19,95,106,BANS
25,42,83,94,28,45,89,100,BAOR
0,0,195,247,0,0,183,232,BARG
14,23,113,123,15,23,115,127,BARS
30,53,117,127,30,53,114,124,BASA
0,0,0,0,0,0,0,0,BATE
0,0,0,0,0,0,0,0,BAWO
8,17,59,69,8,17,63,74,BAWW
0,0,0,0,0,0,0,0,BAYE
0,0,0,0,0,0,0,0,BBAL
31,76,137,147,31,76,133,144,BBCU
6,9,55,61,6,9,57,64,BBFL
0,0,0,0,0,0,0,0,BBGR
0,0,47,52,0,0,48,55,BBLH
135,197,177,209,159,209,191,216,BBMA
0,0,83,101,0,0,89,107,BBOH
0,0,179,208,0,0,179,208,BBPL
0,0,0,0,0,0,0,0,BBPR
0,0,119,130,0,0,126,135,BBSA
9,15,66,74,10,16,70,78,BBWA
0,0,231,256,0,0,235,260,BBWD
0,0,123,133,0,0,125,134,BBWO
9,14,57,71,10,13,58,73,BCCH
0,0,92,115,0,0,92,115,BCFL
0,0,44,48,0,0,46,52,BCGN
2,5,44,49,2,5,40,45,BCHU
0,0,0,0,0,0,0,0,BCNH
39,61,146,162,39,61,147,164,BCNI
0,0,0,0,0,0,0,0,BCOR
0,0,264,288,0,0,268,297,BCPE
0,0,97,108,0,0,100,112,BCRF
0,0,56,66,0,0,59,68,BCSP
0,0,65,78,0,0,66,82,BCTI
0,0,51,57,0,0,52,59,BCVI
0,0,330,357,0,0,308,340,BDOW
0,0,0,0,0,0,0,0,BECO
0,0,49,56,0,0,51,58,BEHU
105,187,149,171,110,195,145,169,BEKI
0,0,0,0,0,0,0,0,BESW
0,0,97,106,0,0,100,110,BETH
0,0,51,58,0,0,52,59,BEVI
9,12,47,58,9,12,49,60,BEWR
0,0,0,0,0,0,0,0,BFAL
0,0,0,0,0,0,0,0,BFBO
0,0,0,0,0,0,0,0,BFGR
5,7,46,53,5,7,49,56,BGGN
0,0,0,0,0,0,0,0,BGNO
0,0,0,0,0,0,0,0,BGSG
30,51,84,103,31,68,96,118,BHCO
0,0,88,108,0,0,90,111,BHGR
0,0,0,0,0,0,0,0,BHGU
0,0,55,68,0,0,57,69,BHNU
0,0,0,0,0,0,0,0,BHPA
12,20,67,76,12,20,70,83,BHVI
0,0,0,0,0,0,0,0,BIOO
0,0,80,96,0,0,87,98,BITH
0,0,0,0,0,0,0,0,BLAG
0,0,283,330,0,0,300,342,BLBR
0,0,0,0,0,0,0,0,BLBU
7,13,61,70,7,16,65,73,BLBW
0,0,0,0,0,0,0,0,BLDR
0,0,0,0,0,0,0,0,BLGO
23,36,75,95,26,39,80,99,BLGR
0,0,0,0,0,0,0,0,BLGU
68,104,113,139,70,112,117,148,BLJA
0,0,0,0,0,0,0,0,BLKI
0,0,0,0,0,0,0,0,BLNO
0,0,235,260,0,0,233,257,BLOY
0,0,0,0,0,0,0,0,BLPE
0,0,79,92,0,0,82,96,BLPH
9,21,66,77,10,21,70,79,BLPW
0,0,63,79,0,0,64,80,BLRA
0,0,96,106,0,0,100,111,BLRF
0,0,0,0,0,0,0,0,BLSC
213,296,323,372,280,382,374,416,BLSK
