"DateEx","Location","Program","Observers","SongbirdNets","NonSongbirdNets","JTrap","OtherTrap","Heliogoland","VisibleMigration","CoverageCode"
5/16/2002 0:00:00,"MBO","PRE-F04",,,,,,0,,
5/1/2003 0:00:00,"MBO","PRE-F04",,,,,,0,,
5/6/2004 0:00:00,"MBO","PRE-F04",,9.00,0,0,0,,0,0.5
9/18/2004 0:00:00,"MBO","FMMP2004",7,0.00,0,0,0,0,0,2.5
9/19/2004 0:00:00,"MBO","FMMP2004",3.5,3.80,0,0,0,0,0,1.5
9/20/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
9/21/2004 0:00:00,"MBO","FMMP2004",7.5,32.50,0,0,0,0,0,3.5
9/22/2004 0:00:00,"MBO","FMMP2004",12.5,60.40,0,0,0,0,0,4.5
9/23/2004 0:00:00,"MBO","FMMP2004",10,37.70,0,0,0,0,0,4
9/28/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
9/28/2004 0:00:00,"MBO","OWLS2004",,15.00,,,,,,
9/29/2004 0:00:00,"MBO","FMMP2004",13.5,52.50,0,0,0,0,0,4.5
9/30/2004 0:00:00,"MBO","FMMP2004",14.5,63.00,0,0,0,0,0,4.5
10/1/2004 0:00:00,"MBO","FMMP2004",7.8,66.30,0,0,0,0,0,4
10/3/2004 0:00:00,"MBO","FMMP2004",5,66.50,0,0,0,0,0,2.5
10/3/2004 0:00:00,"MBO","OWLS2004",,10.00,,,,,,
10/4/2004 0:00:00,"MBO","FMMP2004",18,68.00,0,0,0,0,0,4.5
10/6/2004 0:00:00,"MBO","FMMP2004",8.5,41.30,0,0,0,0,0,3.5
10/6/2004 0:00:00,"MBO","OWLS2004",,20.00,,,,,,
10/7/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
10/8/2004 0:00:00,"MBO","FMMP2004",11,51.50,0,0,0,0,0,3.5
10/9/2004 0:00:00,"MBO","FMMP2004",1,0.00,0,0,0,0,0,0.5
10/10/2004 0:00:00,"MBO","FMMP2004",2,65.70,0,0,0,0,0,2
10/10/2004 0:00:00,"MBO","OWLS2004",,15.00,,,,,,
10/11/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
10/11/2004 0:00:00,"MBO","OWLS2004",,27.50,,,,,,
10/12/2004 0:00:00,"MBO","FMMP2004",15.8,43.00,0,0,0,0,0,4
10/12/2004 0:00:00,"MBO","OWLS2004",,22.50,,,,,,
10/13/2004 0:00:00,"MBO","FMMP2004",11,11.00,0,0,0,0,0,3.5
10/14/2004 0:00:00,"MBO","FMMP2004",8.3,31.50,0,0,0,0,0,3.5
10/15/2004 0:00:00,"MBO","FMMP2004",6.5,11.30,0,0,0,0,0,3
10/17/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
10/18/2004 0:00:00,"MBO","FMMP2004",7,40.30,0,0,0,0,0,3.5
10/18/2004 0:00:00,"MBO","OWLS2004",,20.00,,,,,,
10/19/2004 0:00:00,"MBO","FMMP2004",3.5,0.00,0,0,0,0,0,2
10/19/2004 0:00:00,"MBO","OWLS2004",,20.00,,,,,,
10/20/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
10/21/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
10/22/2004 0:00:00,"MBO","FMMP2004",10,49.90,0,0,0,0,0,4
10/22/2004 0:00:00,"MBO","OWLS2004",,17.50,,,,,,
10/23/2004 0:00:00,"MBO","FMMP2004",11.8,50.70,0,0,0,0,0,4.5
10/24/2004 0:00:00,"MBO","OWLS2004",,18.80,,,,,,
10/25/2004 0:00:00,"MBO","FMMP2004",8,56.50,0,0,0,0,0,4
10/27/2004 0:00:00,"MBO","FMMP2004",0,0.00,0,0,0,0,0,1
10/27/2004 0:00:00,"MBO","OWLS2004",,22.50,,,,,,
10/29/2004 0:00:00,"MBO","FMMP2004",9.3,45.80,0,0,0,0,0,4
11/1/2004 0:00:00,"MBO","WINTER2004-05",0,7.50,0,0,0,,0,0
11/22/2004 0:00:00,"MBO","WINTER2004-05",0,16.00,0,0,0,,0,0
11/27/2004 0:00:00,"MBO","WINTER2004-05",0,12.00,0,0,0,,0,0
11/30/2004 0:00:00,"MBO","WINTER2004-05",0,12.00,0,0,0,,0,0
12/4/2004 0:00:00,"MBO","WINTER2004-05",0,12.00,0,0,0,,0,0
12/7/2004 0:00:00,"MBO","WINTER2004-05",0,0.00,0,0,0,,0,0
2/6/2005 0:00:00,"MBO","WINTER2004-05",0,7.00,0,0,0,,0,0
2/13/2005 0:00:00,"MBO","WINTER2004-05",0,1.00,0,0,0,,0,0
2/14/2005 0:00:00,"MBO","WINTER2004-05",0,5.00,0,0,0,,0,0
2/22/2005 0:00:00,"MBO","WINTER2004-05",,10.00,,,,0,,
3/5/2005 0:00:00,"MBO","WINTER2004-05",0,8.00,0,0,0,,0,0
3/15/2005 0:00:00,"MBO","WINTER2004-05",0,9.00,0,0,0,,0,0
3/20/2005 0:00:00,"MBO","WINTER2004-05",0,11.00,0,0,0,,0,0
3/25/2005 0:00:00,"MBO","WINTER2004-05",0,7.00,0,0,0,,0,0
4/5/2005 0:00:00,"MBO","SMMP2005",13.5,14.00,0,0,0,0,0,3.5
4/6/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/7/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/8/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/9/2005 0:00:00,"MBO","SMMP2005",8.5,50.00,0,0,0,0,0,4
4/10/2005 0:00:00,"MBO","SMMP2005",7,51.30,0,0,0,0,0,4
4/11/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/12/2005 0:00:00,"MBO","SMMP2005",11,61.30,0,0,0,0,0,4.5
4/13/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/14/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/15/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/16/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/17/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/18/2005 0:00:00,"MBO","SMMP2005",11.5,66.00,0,0,0,0,0,4.5
4/19/2005 0:00:00,"MBO","SMMP2005",7.5,5.00,0,0,0,0,0,3
4/20/2005 0:00:00,"MBO","SMMP2005",13.5,26.00,0,0,0,0,0,4
4/21/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/22/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/24/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/25/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/26/2005 0:00:00,"MBO","SMMP2005",8.5,76.80,0,0,0,0,0,4.5
4/27/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/28/2005 0:00:00,"MBO","SMMP2005",4,60.80,0,0,0,0,0,3.5
4/29/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
4/30/2005 0:00:00,"MBO","SMMP2005",6.8,76.50,0,0,0,0,0,4.5
5/1/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/2/2005 0:00:00,"MBO","SMMP2005",5.5,52.10,0,0,0,0,0,3.5
5/3/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/4/2005 0:00:00,"MBO","SMMP2005",11.5,77.70,0,0,0,0,0,5
5/5/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/6/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/7/2005 0:00:00,"MBO","SMMP2005",7.8,81.00,0,0,0,0,0,4.5
5/8/2005 0:00:00,"MBO","SMMP2005",7.5,70.80,0,0,0,0,0,4
5/9/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/10/2005 0:00:00,"MBO","SMMP2005",4,26.70,0,0,0,0,0,3
5/11/2005 0:00:00,"MBO","SMMP2005",3.5,14.50,0,0,0,0,0,2.5
5/12/2005 0:00:00,"MBO","SMMP2005",8.8,71.50,0,0,0,0,0,4
