"IDDETNetHours","Program","Location","DateEx","NetID","NetHours"
1,"SMMP2014","MBO",4/18/2014 0:00:00,"A1",5.00
2,"SMMP2014","MBO",4/19/2014 0:00:00,"A1",4.00
3,"SMMP2014","MBO",4/20/2014 0:00:00,"A1",5.00
4,"SMMP2014","MBO",4/21/2014 0:00:00,"A1",5.00
5,"SMMP2014","MBO",4/22/2014 0:00:00,"A1",4.50
6,"SMMP2014","MBO",4/23/2014 0:00:00,"A1",5.00
7,"SMMP2014","MBO",4/24/2014 0:00:00,"A1",5.00
8,"SMMP2014","MBO",4/25/2014 0:00:00,"A1",5.00
9,"SMMP2014","MBO",4/27/2014 0:00:00,"A1",3.00
10,"SMMP2014","MBO",4/28/2014 0:00:00,"A1",5.00
11,"SMMP2014","MBO",4/29/2014 0:00:00,"A1",5.00
12,"SMMP2014","MBO",4/30/2014 0:00:00,"A1",4.75
13,"SMMP2014","MBO",5/2/2014 0:00:00,"A1",4.25
14,"SMMP2014","MBO",5/3/2014 0:00:00,"A1",2.50
15,"SMMP2014","MBO",5/5/2014 0:00:00,"A1",3.50
16,"SMMP2014","MBO",5/6/2014 0:00:00,"A1",5.00
17,"SMMP2014","MBO",5/7/2014 0:00:00,"A1",5.00
18,"SMMP2014","MBO",5/8/2014 0:00:00,"A1",5.00
19,"SMMP2014","MBO",5/9/2014 0:00:00,"A1",3.25
20,"SMMP2014","MBO",5/10/2014 0:00:00,"A1",5.00
21,"SMMP2014","MBO",5/11/2014 0:00:00,"A1",5.00
22,"SMMP2014","MBO",5/12/2014 0:00:00,"A1",5.00
23,"SMMP2014","MBO",5/13/2014 0:00:00,"A1",5.00
24,"SMMP2014","MBO",5/14/2014 0:00:00,"A1",5.00
25,"SMMP2014","MBO",5/15/2014 0:00:00,"A1",5.00
26,"SMMP2014","MBO",5/16/2014 0:00:00,"A1",4.00
27,"SMMP2014","MBO",5/17/2014 0:00:00,"A1",3.50
28,"SMMP2014","MBO",5/18/2014 0:00:00,"A1",5.00
29,"SMMP2014","MBO",5/19/2014 0:00:00,"A1",5.00
30,"SMMP2014","MBO",5/20/2014 0:00:00,"A1",5.00
31,"SMMP2014","MBO",5/21/2014 0:00:00,"A1",5.00
32,"SMMP2014","MBO",5/22/2014 0:00:00,"A1",5.00
33,"SMMP2014","MBO",5/23/2014 0:00:00,"A1",5.00
34,"SMMP2014","MBO",5/24/2014 0:00:00,"A1",5.00
35,"SMMP2014","MBO",5/25/2014 0:00:00,"A1",5.00
36,"SMMP2014","MBO",5/26/2014 0:00:00,"A1",5.00
37,"SMMP2014","MBO",5/27/2014 0:00:00,"A1",3.50
38,"SMMP2014","MBO",5/28/2014 0:00:00,"A1",4.50
39,"SMMP2014","MBO",5/29/2014 0:00:00,"A1",5.00
40,"SMMP2014","MBO",5/30/2014 0:00:00,"A1",3.50
41,"SMMP2014","MBO",5/31/2014 0:00:00,"A1",5.00
42,"SMMP2014","MBO",6/1/2014 0:00:00,"A1",5.00
43,"SMMP2014","MBO",4/18/2014 0:00:00,"A2",5.00
44,"SMMP2014","MBO",4/19/2014 0:00:00,"A2",4.00
