"Species","PseudoSpeciesType","SpeciesDescriptionMBO","SpeciesDescriptionCMMN","SpeciesFrench","SpeciesScientific","AOUOrder","AOSCode","MBOBandingList","DETOrder","MBOMasterDETList","DETTempOrder","WingMaxMale","WingMinMale","WingMaxFemale","WingMinFemale","WeightMaxMale","WeightMinMale","WeightMaxFemale","WeightMinFemale","WingValidate","WeightValidate","MaxMultiCaptureSpan","SpeciesCategoryID","SpeciesDescriptionMBOPrefix","BandingSummaryOrder","SpeciesEnglish","SpeciesFrenchEx","SpeciesScientificEx","AOUTempOrder","PriorityCategory","SpeciesGroupID","SpeciesEnglishShort","SpeciesCode","SpeciesGroupsMBOChecklistID","SpeciesGroupSpeciesObservedAtMBOID"
"ABDU","Species","American Black Duck","American Black Duck","Canard noir","Anas rubripes",17.00,"1330",0,10.00,1,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,17.00,,1,,,1,1
"AGWT","Species","(American) Green-winged Teal","Green-winged (American) Teal","Sarcelle d'hiver","Anas crecca carolinensis",18.00,"1390",0,12.00,1,12,0,0,0,0,0,0,0,0,0,0,,,,,"Green-winged Teal",,"Anas crecca",18.00,,1,,"GWTE",1,1
"ALFL","Species","Alder Flycatcher","Alder Flycatcher","Moucherolle des aulnes","Empidonax alnorum",114.00,"4661",1,82.00,1,82,77,68,74,66,0,0,0,0,0,0,,8,"*",31.00,,,,114.00,"A",5,,,18,10
"AMBI","Species","American Bittern","American Bittern","Butor d'Amérique","Botaurus lentiginosus",69.00,"1900",0,48.00,1,48,0,0,0,0,0,0,0,0,0,0,0,,"*",,,,,69.00,,2,,,4,2
"AMCR","Species","American Crow","American Crow","Corneille d'Amérique","Corvus brachyrhynchos",126.00,"4880",1,95.00,1,95,341,277,327,272,0,0,0,0,0,0,,10,"**",,,,,126.00,"D",8,,,20,12
"AMGO","Species","American Goldfinch","American Goldfinch","Chardonneret jaune","Spinus tristis",176.00,"5290",1,139.00,1,139,76,67,73,65,18,10,17,10,1,0,2780,22,"**",128.00,,,,176.00,,13,,,33,19
"AMKE","Species","American Kestrel","American Kestrel","Crécerelle d'Amérique","Falco sparverius",105.00,"3600",0,76.00,1,76,198,161,204,167,153,82,168,90,0,0,0,29,,6.00,,,,105.00,,4,,,17,6
"AMPI","Species","American Pipit","American Pipit","Pipit d'Amérique","Anthus rubescens",166.00,"6970",0,131.00,1,131,94,77,87,73,24,17,24,17,0,0,,17,,,,,,166.00,,,,,37,21
"AMRE","Species","American Redstart","American Redstart","Paruline flamboyante","Setophaga ruticilla",214.00,"6870",1,170.00,1,170,66,56,63,55,13,6,13,6,1,0,1494,18,"**",80.00,,,,214.00,"C",11,,,29,17
"AMRO","Species","American Robin","American Robin","Merle d'Amérique","Turdus migratorius",158.00,"7610",1,127.00,1,127,137,119,133,115,95,65,93,63,1,0,1734,15,"**",61.00,,,,158.00,"D",10,,,25,16
"AMWI","Species","American Wigeon","American Wigeon","Canard d'Amérique","Mareca americana",15.00,"1370",0,8.00,1,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,15.00,,1,,,1,1
"AMWO","Species","American Woodcock","American Woodcock","Bécasse d'Amérique","Scolopax minor",53.00,"2280",1,36.00,1,36,129,118,142,129,186,105,233,128,0,0,0,3,"**",8.00,,,,53.00,,2,,,9,3
"ATBR","Species","Atlantic Brant","Atlantic Brant","Bernache cravant","Branta bernicla",6.00,"1730",0,193.00,1,193,342,300,330,283,0,0,0,0,0,0,,,,,"Brant",,,6.00,,1,,"BRAN",1,1
"ATSP","Species","American Tree Sparrow","American Tree Sparrow","Bruant hudsonien","Spizelloides arborea",183.00,"5590",1,143.00,1,143,78,67,78,67,27,10,24,15,1,0,2281,20,,101.00,,,,183.00,"B",12,"Am. Tree Sparrow",,30,18
"BAEA","Species","Bald Eagle","Bald Eagle","Pygargue à tête blanche","Haliaeetus leucocephalus",82.00,"3520",0,60.00,1,60,629,509,678,551,0,0,0,0,0,0,,,,,,,,82.00,,4,,,6,6
"BANS","Species","Bank Swallow","Bank Swallow","Hirondelle de rivage","Riparia riparia",130.00,"6160",1,103.00,1,103,106,95,105,94,19,13,18,12,0,0,0,11,,,,,,130.00,,6,,,21,13
"BAOR","Species","Baltimore Oriole","Baltimore Oriole","Oriole de Baltimore","Icterus galbula",196.00,"5070",1,156.00,1,156,98,86,94,82,45,28,42,25,1,0,3251,21,"**",117.00,,,,196.00,,14,,,32,20
"BARS","Species","Barn Swallow","Barn Swallow","Hirondelle rustique","Hirundo rustica",134.00,"6130",1,104.00,1,104,127,115,123,113,23,15,23,14,0,0,,11,,44.00,,,,134.00,"C",6,,,21,13
"BAWW","Species","Black-and-white Warbler","Black-and-white Warbler","Paruline noir et blanc","Mniotilta varia",206.00,"6360",1,163.00,1,163,72,59,70,59,17,8,17,8,1,0,765,18,,73.00,,,,206.00,"C",11,"Blk-and-white Warbler",,29,17
"BBCU","Species","Black-billed Cuckoo","Black-billed Cuckoo","Coulicou à bec noir","Coccyzus erythropthalmus",37.00,"3880",1,27.00,1,27,144,133,147,137,76,31,76,31,0,0,5,4,"**",10.00,,,,37.00,,4,,,12,9
"BBPL","Species","Black-bellied Plover","Black-bellied Plover","Pluvier argenté","Pluvialis squatarola",46.00,"2700",0,192.00,1,192,208,179,208,179,0,0,0,0,0,0,,,,,,,,46.00,,2,,,9,3
"BBWA","Species","Bay-breasted Warbler","Bay-breasted Warbler","Paruline à poitrine baie","Setophaga castanea",218.00,"6600",1,174.00,1,174,77,70,74,65,16,10,15,9,1,0,25,18,,84.00,,,,218.00,"A",11,,,29,17
"BBWO","Species","Black-backed Woodpecker","Black-backer Woodpecker","Pic à dos noir","Picoides arcticus",99.00,,0,230.00,1,230,,,,,,,,,0,0,,7,,19.50,,,,99.00,,3,,,16,8
"BCCH","Species","Black-capped Chickadee","Black-capped Chickadee","Mésange à tête noire","Poecile atricapillus",136.00,"7350",1,97.00,1,97,69,59,69,59,13,10,14,9,1,0,3382,12,"**",45.00,,,,136.00,"D",9,"Black-cap. Chickadee",,22,14
"BCNH","Species","Black-crowned Night-Heron","Black-crowned Night-Heron","Bihoreau gris","Nycticorax nycticorax",74.00,"2020",0,52.00,1,52,0,0,0,0,0,0,0,0,0,0,0,,,,,,,74.00,,2,,,4,2
"BDOW","Species","Barred Owl","Barred Owl","Chouette rayée","Strix varia",91.00,"3680",0,67.00,1,67,340,308,357,330,0,0,0,0,0,0,0,6,,15.00,,,,91.00,,4,,,13,7
"BEKI","Species","Belted Kingfisher","Belted Kingfisher","Martin-pêcheur d'Amérique","Megaceryle alcyon",97.00,"3900",1,69.00,1,69,169,145,171,149,195,110,187,105,0,0,,27,,18.50,,,,97.00,"D",4,,,36,9
"BGGN","Species","Blue-gray Gnatcatcher","Blue-gray Gnatcatcher","Gobemoucheron gris-bleu","Polioptila caerulea",147.00,"7510",0,111.00,1,111,56,49,53,46,7,5,7,5,0,0,,,,,,,,147.00,,9,,,24,14
"BHCO","Species","Brown-headed Cowbird","Brown-headed Cowbird","Vacher à tête brune","Molothrus ater",198.00,"4950",1,158.00,1,158,114,104,101,92,68,31,51,30,1,0,1431,21,"**",116.00,,,,198.00,,14,"Brown-head. Cowbird",,32,20
"BHVI","Species","Blue-headed Vireo","Blue-headed Vireo","Viréo à tête bleue","Vireo solitarius",121.00,"6290",1,89.00,1,89,76,62,76,62,20,12,20,12,1,0,30,9,"*",37.00,,,,121.00,"C",7,,,19,11
"BITH","Species","Bicknell's Thrush","Bicknell's Thrush","Grive de Bicknell","Catharus bicknelli",154.00,"7571",1,123.00,1,123,95,89,95,89,0,0,0,0,1,0,8,15,,57.00,,,,154.00,,10,,,25,16
"BLBW","Species","Blackburnian Warbler","Blackburnian Warbler","Paruline à gorge orangée","Setophaga fusca",219.00,"6620",1,175.00,1,175,70,64,66,61,16,7,13,7,1,0,,18,,85.00,,,,219.00,,11,,,29,17
"BLJA","Species","Blue Jay","Blue Jay","Geai bleu","Cyanocitta cristata",125.00,"4770",1,94.00,1,94,140,123,141,123,112,70,104,68,1,0,4067,10,"**",41.00,,,,125.00,,8,,,20,12
"BLPW","Species","Blackpoll Warbler","Blackpoll Warbler","Paruline rayée","Setophaga striata",222.00,"6610",1,178.00,1,178,77,66,76,66,21,10,21,9,1,0,12,18,,88.00,,,,222.00,"A",11,,,29,17
"BLSC","Species","Black Scoter","Black Scoter","Macreuse à bec jaune","Melanitta americana",25.00,"1630",0,17.00,1,17,0,0,0,0,0,0,0,0,0,0,,,,,,,,25.00,,,,,1,1
"BLTE","Species","Black Tern","Black Tern","Guifette noire","Chlidonias niger",64.00,"0770",0,197.00,1,197,224,196,218,190,78,0,78,0,0,0,,,,,,,,64.00,,2,,,10,4
"BOBO","Species","Bobolink","Bobolink","Goglu des prés","Dolichonyx oryzivorus",193.00,"4940",1,154.00,1,154,105,91,93,80,56,30,45,22,0,0,0,21,,112.00,,,,193.00,,14,,,32,20
"BOCH","Species","Boreal Chickadee","Boreal Chickadee","Mésange à tête brune","Poecile hudsonicus",137.00,"7400",1,212.00,1,212,70,58,69,52,12,8,12,8,0,0,,,,,,,,137.00,,9,,,22,14
"BOOW","Species","Boreal Owl","Boreal Owl","Nyctale de Tengmalm","Aegolius funereus",95.00,"3710",1,201.00,1,201,179,163,198,173,113,90,194,126,0,0,0,6,,17.00,,,,95.00,,4,,,13,7
"BOWA","Species","Bohemian Waxwing","Bohemian Waxwing","Jaseur boréal","Bombycilla garrulus",163.00,"6180",1,128.00,1,128,122,105,122,105,0,0,0,0,1,0,0,17,,67.00,,,,163.00,,10,,,27,21
"BRCR","Species","Brown Creeper","Brown Creeper","Grimpereau brun","Certhia americana",141.00,"7260",1,110.00,1,110,69,59,69,59,10,6,11,6,1,0,25,13,"*",48.00,,,,141.00,"D",9,,,23,14
"BRTH","Species","Brown Thrasher","Brown Thrasher","Moqueur roux","Toxostoma rufum",160.00,"7050",1,118.00,1,118,110,94,110,94,95,57,103,56,0,0,996,16,"**",63.00,,,,160.00,,10,,,26,16
"BRWA","Hybrid","Brewster's Warbler","Brewster's Warbler","Paruline de Brewster",,,,1,233.00,1,233,,,,,,,,,0,0,362,18,,,,,,,,11,,,,
"BTBW","Species","Black-throated Blue Warbler","Black-throated Blue Warbler","Paruline bleue","Setophaga caerulescens",223.00,"6540",1,179.00,1,179,68,60,63,57,14,8,14,7,1,0,1495,18,"**",89.00,,,,223.00,,11,"Blk-thr. Blue Warbler",,29,17
"BTNW","Species","Black-throated Green Warbler","Black-throated Green Warbler","Paruline à gorge noire","Setophaga virens",229.00,"6670",1,184.00,1,184,67,58,64,55,11,8,10,7,1,0,1429,18,,95.00,,,,229.00,"C",11,"Blk-thr. Green Warbler",,29,17
"BUFF","Species","Bufflehead","Bufflehead","Petit Garrot","Bucephala albeola",26.00,,0,231.00,1,231,,,,,,,,,0,0,,1,,,,,,26.00,,1,,,1,1
"BWHA","Species","Broad-winged Hawk","Broad-winged Hawk","Petite Buse","Buteo platypterus",84.00,"3430",1,62.00,1,62,282,246,296,258,387,295,559,381,0,0,,2,,5.00,,,,84.00,,4,,,6,6
"BWTE","Species","Blue-winged Teal","Blue-winged Teal","Sarcelle à ailes bleues","Spatula discors",11.00,"1400",0,5.00,1,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,11.00,,1,,,1,1
"BWWA","Species","Blue-winged Warbler","Blue-winged Warbler","Paruline à ailes bleues","Vermivora cyanoptera",205.00,"6410",1,217.00,1,217,64,55,61,50,11,6,10,6,0,0,11,18,,72.00,,,,205.00,,11,,,29,17
"CACG","Species","Cackling Goose","Cackling Goose","Bernache de Hutchins","Branta hutchinsii",7.00,"1722",0,2.00,1,2,400,351,384,335,0,0,0,0,0,0,,,,,,,,7.00,,1,,,1,1
"CANG","Species","Canada Goose","Canada Goose","Bernache du Canada","Branta canadensis",8.00,"1720",0,3.00,1,3,548,422,525,400,0,0,0,0,0,0,0,,"**",,,,,8.00,,1,,,1,1
"CARW","Species","Carolina Wren","Carolina Wren","Troglodyte de Caroline","Thryothorus ludovicianus",146.00,"7180",1,115.00,1,115,67,56,62,52,23,16,20,15,0,0,0,13,,52.00,,,,146.00,,9,,,23,15
"CATE","Species","Caspian Tern","Caspian Tern","Sterne caspienne","Hydroprogne caspia",63.00,"0640",0,195.00,1,195,0,0,0,0,0,0,0,0,0,0,,,,,,,,63.00,,2,,,10,4
"CAWA","Species","Canada Warbler","Canada Warbler","Paruline du Canada","Cardellina canadensis",230.00,"6860",1,185.00,1,185,68,58,66,58,15,8,13,8,1,0,11,18,,96.00,,,,230.00,"C",11,,,29,17
"CCSP","Species","Clay-colored Sparrow","Clay-colored Sparrow","Bruant des plaines","Spizella pallida",180.00,"5610",0,216.00,1,216,67,59,62,56,14,9,14,9,0,0,,20,,,,,,180.00,,12,,,30,18
"CEDW","Species","Cedar Waxwing","Cedar Waxwing","Jaseur d'Amérique","Bombycilla cedrorum",164.00,"6190",1,129.00,1,129,99,85,99,85,40,26,46,27,1,0,1080,17,"**",66.00,,,,164.00,"D",10,,,27,21
"CHSP","Species","Chipping Sparrow","Chipping Sparrow","Bruant familier","Spizella passerina",179.00,"5600",1,141.00,1,141,73,62,73,62,15,10,15,11,1,0,994,20,"**",102.00,,,,179.00,"C",12,,,30,18
"CHSW","Species","Chimney Swift","Chimney Swift","Martinet ramoneur","Chaetura pelagica",40.00,"4230",1,29.00,1,29,134,122,136,123,29,17,29,17,0,0,0,,,,,,,40.00,,4,,,14,9
"CLSW","Species","Cliff Swallow","Cliff Swallow","Hirondelle à front blanc","Petrochelidon pyrrhonota",135.00,"6120",1,105.00,1,105,117,99,114,96,24,17,24,17,0,0,0,11,,,,,,135.00,"C",6,,,21,13
"CMWA","Species","Cape May Warbler","Cape May Warbler","Paruline tigrée","Setophaga tigrina",215.00,"6500",1,171.00,1,171,70,64,68,59,17,6,17,8,1,0,18,18,,81.00,,,,215.00,"A",11,,,29,17
"COGA","Species","Common Gallinule","Common Gallinule","Gallinule d'Amérique","Gallinula galeata",44.00,"2190",0,226.00,1,226,182,167,171,157,0,0,0,0,0,0,,,,,,,,44.00,,2,,,7,2
"COGO","Species","Common Goldeneye","Common Goldeneye","Garrot à oeil d'or","Bucephala clangula",27.00,"1510",0,225.00,1,225,,,,,,,,,0,0,,,,,,,,27.00,,1,,,1,1
"COGR","Species","Common Grackle","Common Grackle","Quiscale bronzé","Quiscalus quiscula",200.00,"5110",1,160.00,1,160,147,129,135,117,152,90,125,73,1,0,2569,21,"**",115.00,,,,200.00,"D",14,,,32,20
"COHA","Species","Cooper's Hawk","Cooper's Hawk","Épervier de Cooper","Accipiter cooperii",80.00,"3330",1,58.00,1,58,248,215,283,244,457,272,666,349,0,0,0,2,"*",3.00,,,,80.00,,4,,,6,6
"COLO","Species","Common Loon","Common Loon","Plongeon huard","Gavia immer",66.00,"0070",0,46.00,1,46,0,0,0,0,0,0,0,0,0,0,,,,,,,,66.00,,2,,,35,5
"COME","Species","Common Merganser","Common Merganser","Grand Harle","Mergus merganser",29.00,"1290",0,19.00,1,19,0,0,0,0,0,0,0,0,0,0,,,,,,,,29.00,,1,,,1,1
"CONI","Species","Common Nighthawk","Common Nighthawk","Engoulevent d'Amérique","Chordeiles minor",38.00,"4200",1,28.00,1,28,210,178,203,173,0,0,0,0,0,0,0,,,,,,,38.00,,4,,,14,9
"CONW","Species","Connecticut Warbler","Connecticut Warbler","Paruline à gorge grise","Oporornis agilis",210.00,"6780",1,167.00,1,167,75,65,73,63,22,10,21,10,0,0,9,18,,77.00,,,,210.00,,11,,,29,17
"CORA","Species","Common Raven","Common Raven","Grand Corbeau","Corvus corax",128.00,"4860",1,96.00,1,96,468,386,438,383,1400,1100,1300,1050,0,0,0,10,,,,,,128.00,,8,,,20,12
"CORE","Species","Common Redpoll","Common Redpoll","Sizerin flammé","Acanthis flammea",171.00,"5280",1,136.00,1,136,81,67,81,67,18,12,17,11,1,0,114,22,,125.00,,,,171.00,,13,,,33,19
"COTE","Species","Common Tern","Common Tern","Sterne pierregarin","Sterna hirundo",65.00,"0700",0,45.00,1,45,0,0,0,0,0,0,0,0,0,0,,,,,,,,65.00,,2,,,10,4
"COYE","Species","Common Yellowthroat","Common Yellowthroat","Paruline masquée","Geothlypis trichas",212.00,"6810",1,169.00,1,169,59,50,56,49,15,8,15,7,1,0,3259,18,"**",79.00,,,,212.00,"C",11,,,29,17
"CSWA","Species","Chestnut-sided Warbler","Chestnut-sided Warbler","Paruline à flancs marron","Setophaga pensylvanica",221.00,"6590",1,177.00,1,177,67,57,65,56,15,8,13,7,1,0,1846,18,"*",87.00,,,,221.00,,11,"Chest.-sided Warbler",,29,17
"DCCO","Species","Double-crested Cormorant","Double-crested Cormorant","Cormoran à aigrettes","Phalacrocorax auritus",68.00,"1200",0,47.00,1,47,0,0,0,0,0,0,0,0,0,0,,,,,,,,68.00,,2,,,4,5
"DOWO","Species","Downy Woodpecker","Downy Woodpecker","Pic mineur","Dryobates pubescens",101.00,"3940",1,72.00,1,72,100,84,101,86,39,22,37,21,1,0,3525,7,"**",21.00,,,,101.00,"D",3,,,16,8
"DUNL","Species","Dunlin","Dunlin","Bécasseau variable","Calidris alpina",49.00,"2430",0,224.00,1,224,125,102,128,106,72,40,72,40,0,0,,,,,,,,49.00,,2,,,9,3
"EABL","Species","Eastern Bluebird","Eastern Bluebird","Merlebleu de l'Est","Sialia sialis",150.00,"7660",1,120.00,1,120,109,95,104,91,40,25,35,24,0,0,0,15,"**",62.00,,,,150.00,,10,,,25,16
"EAKI","Species","Eastern Kingbird","Eastern Kingbird","Tyran tritri","Tyrannus tyrannus",109.00,"4440",1,88.00,1,88,123,108,123,108,0,0,0,0,1,0,1827,8,"**",29.00,,,,109.00,"C",5,,,18,10
"EAME","Species","Eastern Meadowlark","Eastern Meadowlark","Sturnelle des prés","Sturnella magna",194.00,"5010",1,155.00,1,155,130,109,116,96,139,99,107,70,0,0,,21,,,,,,194.00,,14,,,32,20
